"","view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","subject","country_code","stimulus","key_press","stimulus_type","correct","left_object","right_object","activate","box","startTime","endTime","RT","choice","sameSide","samePair","diffPair"
"1","[{""page_index"":0,""viewing_time"":42327},{""page_index"":1,""viewing_time"":8927}]","51254","instructions","0","51257","0.0-0.0",1,"US","","","","","","","","","","","","","","",""
"2","","3880","audio-keyboard-response","1","57171","0.0-1.0",1,"US","sound/letter.wav","81","congruent","true","","","","","","","","","","",""
"3","","","RMTStrain","2","78252","0.0-2.0",1,"US","","","","","img/k.png","img/k.png","true","img/box.png","1568223721980","1568223743060","","","","",""
"4","","","RMTStrain","3","100173","0.0-3.0",1,"US","","","","","img/m.png","img/c.png","false","img/box.png","1568223743060","1568223764981","","","","",""
"5","","","RMTStrain","4","118263","0.0-4.0",1,"US","","","","","img/i.png","img/i.png","true","img/box.png","1568223764981","1568223783071","","","","",""
"6","","","RMTStrain","5","139460","0.0-5.0",1,"US","","","","","img/g.png","img/h.png","false","img/box.png","1568223783071","1568223804268","","","","",""
"7","[{""page_index"":0,""viewing_time"":5392}]","5393","instructions","6","144853","0.0-6.0",1,"US","","","","","","","","","","","","","","",""
"8","","","RMTStest","7","149029","0.0-7.0",1,"US","","","","","","","","img/box.png","1568223811661","","-1568223659152.165","leftTestButton","R","img/n.png,img/n.png","img/l.png,img/f.png"
"9","","","RMTStest","8","150061","0.0-8.0",1,"US","","","","","","","","img/box.png","1568223813837","","-1568223660295.985","rightTestButton","L","img/j.png,img/j.png","img/d.png,img/b.png"
"10","","","RMTStest","9","151216","0.0-9.0",1,"US","","","","","","","","img/box.png","1568223814869","","-1568223660172.665","leftTestButton","R","img/o.png,img/o.png","img/e.png,img/a.png"
"11","[{""page_index"":0,""viewing_time"":3136}]","3136","instructions","10","154352","0.0-10.0",1,"US","","","","","","","","","","","","","","",""
"12","","","RMTStrain","11","175542","0.0-11.0",1,"US","","","","","img/6.png","img/1.png","true","img/hatbox.png","1568223821162","1568223840350","","","","",""
"13","","","RMTStrain","12","193962","0.0-12.0",1,"US","","","","","img/9.png","img/9.png","false","img/hatbox.png","1568223840351","1568223858769","","","","",""
